iter	Passed	Remaining
0	2	107
1	5	101
2	7	93
3	9	86
4	13	94
5	15	89
6	17	84
7	21	85
8	23	81
9	26	78
10	28	74
11	30	71
12	32	68
13	35	65
14	37	62
15	39	59
16	42	56
17	44	53
18	46	51
19	48	48
20	50	45
21	52	43
22	55	40
23	57	38
24	61	37
25	64	34
26	65	31
27	66	28
28	69	26
29	70	23
30	72	21
31	74	18
32	77	16
33	79	13
34	81	11
35	83	9
36	85	6
37	87	4
38	89	2
39	91	0
